heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
blm_melhor_melhora,15,10,1,0.0230,1010,88,NA
blm_melhor_melhora,15,10,2,0.0230,1010,86,NA
blm_melhor_melhora,15,10,3,0.0229,1007,93,NA
blm_melhor_melhora,15,10,4,0.0250,1005,106,NA
blm_melhor_melhora,15,10,5,0.0232,1009,121,NA
blm_melhor_melhora,15,10,6,0.0230,1009,85,NA
blm_melhor_melhora,15,10,7,0.0227,1006,99,NA
blm_melhor_melhora,15,10,8,0.0234,1008,109,NA
blm_melhor_melhora,15,10,9,0.0232,1007,87,NA
blm_melhor_melhora,15,10,10,0.0237,1008,96,NA
blm_melhor_melhora,20,10,1,0.0327,1002,104,NA
blm_melhor_melhora,20,10,2,0.0301,1006,105,NA
blm_melhor_melhora,20,10,3,0.0311,1010,119,NA
blm_melhor_melhora,20,10,4,0.0320,1004,143,NA
blm_melhor_melhora,20,10,5,0.0316,1008,127,NA
blm_melhor_melhora,20,10,6,0.0326,1001,151,NA
blm_melhor_melhora,20,10,7,0.0329,1011,130,NA
blm_melhor_melhora,20,10,8,0.0329,1005,131,NA
blm_melhor_melhora,20,10,9,0.0329,1001,161,NA
blm_melhor_melhora,20,10,10,0.0308,1005,143,NA
blm_melhor_melhora,30,20,1,0.0936,1005,155,NA
blm_melhor_melhora,30,20,2,0.0967,1006,189,NA
blm_melhor_melhora,30,20,3,0.0925,1013,111,NA
blm_melhor_melhora,30,20,4,0.0954,1020,109,NA
blm_melhor_melhora,30,20,5,0.0937,1009,95,NA
blm_melhor_melhora,30,20,6,0.0910,1005,96,NA
blm_melhor_melhora,30,20,7,0.0892,1009,128,NA
blm_melhor_melhora,30,20,8,0.0922,1018,125,NA
blm_melhor_melhora,30,20,9,0.0927,1004,99,NA
blm_melhor_melhora,30,20,10,0.1016,1021,107,NA
blm_melhor_melhora,40,20,1,0.1339,1015,153,NA
blm_melhor_melhora,40,20,2,0.1288,1002,161,NA
blm_melhor_melhora,40,20,3,0.1285,1006,219,NA
blm_melhor_melhora,40,20,4,0.1323,1002,218,NA
blm_melhor_melhora,40,20,5,0.1253,1001,210,NA
blm_melhor_melhora,40,20,6,0.1255,1019,120,NA
blm_melhor_melhora,40,20,7,0.1306,1003,173,NA
blm_melhor_melhora,40,20,8,0.1308,1015,104,NA
blm_melhor_melhora,40,20,9,0.1237,1013,139,NA
blm_melhor_melhora,40,20,10,0.1219,1010,193,NA
blm_melhor_melhora,75,50,1,0.5558,1015,159,NA
blm_melhor_melhora,75,50,2,0.5350,1002,264,NA
blm_melhor_melhora,75,50,3,0.5668,1006,178,NA
blm_melhor_melhora,75,50,4,0.5683,1003,220,NA
blm_melhor_melhora,75,50,5,0.5501,1009,167,NA
blm_melhor_melhora,75,50,6,0.5725,1004,155,NA
blm_melhor_melhora,75,50,7,0.5791,1009,166,NA
blm_melhor_melhora,75,50,8,0.5895,1008,164,NA
blm_melhor_melhora,75,50,9,0.8231,1014,140,NA
blm_melhor_melhora,75,50,10,0.8245,1018,162,NA
blm_melhor_melhora,100,50,1,1.0726,1017,195,NA
blm_melhor_melhora,100,50,2,1.0933,1009,202,NA
blm_melhor_melhora,100,50,3,0.9898,1007,178,NA
blm_melhor_melhora,100,50,4,1.0648,1007,262,NA
blm_melhor_melhora,100,50,5,0.9128,1024,165,NA
blm_melhor_melhora,100,50,6,1.0468,1011,224,NA
blm_melhor_melhora,100,50,7,0.8868,1000,307,NA
blm_melhor_melhora,100,50,8,0.8824,1008,196,NA
blm_melhor_melhora,100,50,9,0.8807,1008,198,NA
blm_melhor_melhora,100,50,10,0.9390,1020,157,NA
