heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
blnm_monotona_randomizada,15,10,1,0.0224,1004,99,0.1
blnm_monotona_randomizada,15,10,1,0.0201,1005,99,0.2
blnm_monotona_randomizada,15,10,1,0.0171,1004,99,0.3
blnm_monotona_randomizada,15,10,1,0.0158,1012,99,0.4
blnm_monotona_randomizada,15,10,1,0.0138,1010,99,0.5
blnm_monotona_randomizada,15,10,1,0.0099,1005,99,0.6
blnm_monotona_randomizada,15,10,1,0.0081,1008,99,0.7
blnm_monotona_randomizada,15,10,1,0.0049,1020,99,0.8
blnm_monotona_randomizada,15,10,1,0.0028,1018,99,0.9
blnm_monotona_randomizada,15,10,2,0.0216,1013,93,0.1
blnm_monotona_randomizada,15,10,2,0.0191,1008,93,0.2
blnm_monotona_randomizada,15,10,2,0.0199,1146,93,0.3
blnm_monotona_randomizada,15,10,2,0.0148,1006,93,0.4
blnm_monotona_randomizada,15,10,2,0.0128,1018,93,0.5
blnm_monotona_randomizada,15,10,2,0.0103,1093,93,0.6
blnm_monotona_randomizada,15,10,2,0.0087,1128,93,0.7
blnm_monotona_randomizada,15,10,2,0.0063,1149,93,0.8
blnm_monotona_randomizada,15,10,2,0.0034,1012,93,0.9
blnm_monotona_randomizada,15,10,3,0.0208,1005,87,0.1
blnm_monotona_randomizada,15,10,3,0.0196,1004,87,0.2
blnm_monotona_randomizada,15,10,3,0.0187,1012,87,0.3
blnm_monotona_randomizada,15,10,3,0.0160,1032,87,0.4
blnm_monotona_randomizada,15,10,3,0.0128,1031,87,0.5
blnm_monotona_randomizada,15,10,3,0.0107,1004,87,0.6
blnm_monotona_randomizada,15,10,3,0.0086,1035,87,0.7
blnm_monotona_randomizada,15,10,3,0.0071,1156,87,0.8
blnm_monotona_randomizada,15,10,3,0.0056,1537,87,0.9
blnm_monotona_randomizada,15,10,4,0.0229,1002,100,0.1
blnm_monotona_randomizada,15,10,4,0.0192,1005,100,0.2
blnm_monotona_randomizada,15,10,4,0.0186,1009,100,0.3
blnm_monotona_randomizada,15,10,4,0.0155,1003,100,0.4
blnm_monotona_randomizada,15,10,4,0.0124,1004,100,0.5
blnm_monotona_randomizada,15,10,4,0.0101,1013,100,0.6
blnm_monotona_randomizada,15,10,4,0.0076,1004,100,0.7
blnm_monotona_randomizada,15,10,4,0.0053,1006,100,0.8
blnm_monotona_randomizada,15,10,4,0.0025,1065,100,0.9
blnm_monotona_randomizada,15,10,5,0.0223,1019,99,0.1
blnm_monotona_randomizada,15,10,5,0.0188,1011,97,0.2
blnm_monotona_randomizada,15,10,5,0.0224,1243,97,0.3
blnm_monotona_randomizada,15,10,5,0.0154,1068,97,0.4
blnm_monotona_randomizada,15,10,5,0.0176,1339,97,0.5
blnm_monotona_randomizada,15,10,5,0.0127,1272,97,0.6
blnm_monotona_randomizada,15,10,5,0.0091,1047,97,0.7
blnm_monotona_randomizada,15,10,5,0.0059,1063,99,0.8
blnm_monotona_randomizada,15,10,5,0.0068,2167,99,0.9
blnm_monotona_randomizada,15,10,6,0.0225,1005,96,0.1
blnm_monotona_randomizada,15,10,6,0.0206,1013,96,0.2
blnm_monotona_randomizada,15,10,6,0.0180,1123,96,0.3
blnm_monotona_randomizada,15,10,6,0.0148,1031,96,0.4
blnm_monotona_randomizada,15,10,6,0.0131,1134,96,0.5
blnm_monotona_randomizada,15,10,6,0.0118,1169,96,0.6
blnm_monotona_randomizada,15,10,6,0.0084,1021,96,0.7
blnm_monotona_randomizada,15,10,6,0.0087,1423,96,0.8
blnm_monotona_randomizada,15,10,6,0.0038,1183,112,0.9
blnm_monotona_randomizada,15,10,7,0.0215,1030,98,0.1
blnm_monotona_randomizada,15,10,7,0.0189,1004,98,0.2
blnm_monotona_randomizada,15,10,7,0.0176,1021,98,0.3
blnm_monotona_randomizada,15,10,7,0.0146,1031,98,0.4
blnm_monotona_randomizada,15,10,7,0.0123,1004,98,0.5
blnm_monotona_randomizada,15,10,7,0.0119,1013,98,0.6
blnm_monotona_randomizada,15,10,7,0.0081,1035,98,0.7
blnm_monotona_randomizada,15,10,7,0.0058,1018,98,0.8
blnm_monotona_randomizada,15,10,7,0.0056,1816,98,0.9
blnm_monotona_randomizada,15,10,8,0.0224,1006,92,0.1
blnm_monotona_randomizada,15,10,8,0.0201,1004,92,0.2
blnm_monotona_randomizada,15,10,8,0.0180,1003,92,0.3
blnm_monotona_randomizada,15,10,8,0.0153,1008,92,0.4
blnm_monotona_randomizada,15,10,8,0.0129,1013,92,0.5
blnm_monotona_randomizada,15,10,8,0.0110,1039,92,0.6
blnm_monotona_randomizada,15,10,8,0.0079,1020,92,0.7
blnm_monotona_randomizada,15,10,8,0.0060,1230,92,0.8
blnm_monotona_randomizada,15,10,8,0.0042,1365,92,0.9
blnm_monotona_randomizada,15,10,9,0.0353,1651,120,0.1
blnm_monotona_randomizada,15,10,9,0.0271,1424,120,0.2
blnm_monotona_randomizada,15,10,9,0.0213,1250,120,0.3
blnm_monotona_randomizada,15,10,9,0.0155,1063,120,0.4
blnm_monotona_randomizada,15,10,9,0.0134,1086,120,0.5
blnm_monotona_randomizada,15,10,9,0.0151,1452,120,0.6
blnm_monotona_randomizada,15,10,9,0.0191,2282,120,0.7
blnm_monotona_randomizada,15,10,9,0.0112,2031,128,0.8
blnm_monotona_randomizada,15,10,9,0.0044,1483,131,0.9
blnm_monotona_randomizada,15,10,10,0.0223,1008,100,0.1
blnm_monotona_randomizada,15,10,10,0.0216,1006,100,0.2
blnm_monotona_randomizada,15,10,10,0.0184,1011,100,0.3
blnm_monotona_randomizada,15,10,10,0.0146,1010,100,0.4
blnm_monotona_randomizada,15,10,10,0.0127,1031,100,0.5
blnm_monotona_randomizada,15,10,10,0.0092,1020,100,0.6
blnm_monotona_randomizada,15,10,10,0.0091,1013,100,0.7
blnm_monotona_randomizada,15,10,10,0.0052,1020,100,0.8
blnm_monotona_randomizada,15,10,10,0.0036,1123,100,0.9
blnm_monotona_randomizada,20,10,1,0.0384,1406,132,0.1
blnm_monotona_randomizada,20,10,1,0.0466,1779,132,0.2
blnm_monotona_randomizada,20,10,1,0.0376,1651,130,0.3
blnm_monotona_randomizada,20,10,1,0.0263,1281,135,0.4
blnm_monotona_randomizada,20,10,1,0.0290,1741,132,0.5
blnm_monotona_randomizada,20,10,1,0.0264,1919,135,0.6
blnm_monotona_randomizada,20,10,1,0.0160,1509,135,0.7
blnm_monotona_randomizada,20,10,1,0.0150,2113,152,0.8
blnm_monotona_randomizada,20,10,1,0.0044,1117,161,0.9
blnm_monotona_randomizada,20,10,2,0.0714,2388,107,0.1
blnm_monotona_randomizada,20,10,2,0.0322,1207,107,0.2
blnm_monotona_randomizada,20,10,2,0.0415,1744,107,0.3
blnm_monotona_randomizada,20,10,2,0.0243,1190,107,0.4
blnm_monotona_randomizada,20,10,2,0.0209,1220,108,0.5
blnm_monotona_randomizada,20,10,2,0.0164,1108,114,0.6
blnm_monotona_randomizada,20,10,2,0.0303,2844,108,0.7
blnm_monotona_randomizada,20,10,2,0.0093,1336,120,0.8
blnm_monotona_randomizada,20,10,2,0.0053,1326,128,0.9
blnm_monotona_randomizada,20,10,3,0.0294,1088,97,0.1
blnm_monotona_randomizada,20,10,3,0.0256,1019,97,0.2
blnm_monotona_randomizada,20,10,3,0.0234,1081,97,0.3
blnm_monotona_randomizada,20,10,3,0.0212,1115,97,0.4
blnm_monotona_randomizada,20,10,3,0.0178,1014,97,0.5
blnm_monotona_randomizada,20,10,3,0.0145,1045,97,0.6
blnm_monotona_randomizada,20,10,3,0.0165,1567,97,0.7
blnm_monotona_randomizada,20,10,3,0.0082,1100,98,0.8
blnm_monotona_randomizada,20,10,3,0.0076,1838,104,0.9
blnm_monotona_randomizada,20,10,4,0.0373,1308,106,0.1
blnm_monotona_randomizada,20,10,4,0.0408,1543,106,0.2
blnm_monotona_randomizada,20,10,4,0.0246,1049,106,0.3
blnm_monotona_randomizada,20,10,4,0.0272,1362,106,0.4
blnm_monotona_randomizada,20,10,4,0.0241,1436,106,0.5
blnm_monotona_randomizada,20,10,4,0.0164,1178,106,0.6
blnm_monotona_randomizada,20,10,4,0.0178,1703,107,0.7
blnm_monotona_randomizada,20,10,4,0.0170,2200,115,0.8
blnm_monotona_randomizada,20,10,4,0.0056,1540,112,0.9
blnm_monotona_randomizada,20,10,5,0.0500,1714,112,0.1
blnm_monotona_randomizada,20,10,5,0.0505,2023,112,0.2
blnm_monotona_randomizada,20,10,5,0.0265,1208,114,0.3
blnm_monotona_randomizada,20,10,5,0.0426,2144,112,0.4
blnm_monotona_randomizada,20,10,5,0.0174,1053,112,0.5
blnm_monotona_randomizada,20,10,5,0.0186,1351,113,0.6
blnm_monotona_randomizada,20,10,5,0.0162,1544,117,0.7
blnm_monotona_randomizada,20,10,5,0.0147,2006,120,0.8
blnm_monotona_randomizada,20,10,5,0.0082,1895,121,0.9
blnm_monotona_randomizada,20,10,6,0.0351,1205,93,0.1
blnm_monotona_randomizada,20,10,6,0.0274,1095,93,0.2
blnm_monotona_randomizada,20,10,6,0.0235,1026,93,0.3
blnm_monotona_randomizada,20,10,6,0.0212,1037,93,0.4
blnm_monotona_randomizada,20,10,6,0.0164,1026,93,0.5
blnm_monotona_randomizada,20,10,6,0.0147,1038,93,0.6
blnm_monotona_randomizada,20,10,6,0.0158,1580,93,0.7
blnm_monotona_randomizada,20,10,6,0.0102,1488,93,0.8
blnm_monotona_randomizada,20,10,6,0.0111,2292,96,0.9
blnm_monotona_randomizada,20,10,7,0.0288,1030,99,0.1
blnm_monotona_randomizada,20,10,7,0.0250,1005,99,0.2
blnm_monotona_randomizada,20,10,7,0.0229,1011,99,0.3
blnm_monotona_randomizada,20,10,7,0.0197,1017,99,0.4
blnm_monotona_randomizada,20,10,7,0.0160,1031,99,0.5
blnm_monotona_randomizada,20,10,7,0.0145,1054,99,0.6
blnm_monotona_randomizada,20,10,7,0.0117,1107,99,0.7
blnm_monotona_randomizada,20,10,7,0.0130,1777,99,0.8
blnm_monotona_randomizada,20,10,7,0.0083,2120,99,0.9
blnm_monotona_randomizada,20,10,8,0.0430,1501,130,0.1
blnm_monotona_randomizada,20,10,8,0.0679,2633,129,0.2
blnm_monotona_randomizada,20,10,8,0.0511,2343,129,0.3
